Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
363.60	0.079774	621.70	0.0016085	-2.0329	-2.0201	-5.4863	202.66	252.53	864.70	-0.28771	207.67	0.11489	0.013432	2.7685	0.36120	27.412	30.299	83.400	188.20	198.84	170.33	33.834	7.4091	0.017284
364.80	0.082778	620.58	0.0016114	-1.7298	-1.7165	-4.6540	203.14	253.10	859.99	-0.28478	205.62	0.11461	0.013317	2.8669	0.34881	27.625	30.518	83.708	188.79	199.50	170.40	33.480	7.4371	0.017402
366.00	0.085870	619.45	0.0016143	-1.4261	-1.4122	-3.8226	203.61	253.67	855.28	-0.28182	203.60	0.11432	0.013202	2.9679	0.33694	27.838	30.737	84.017	189.38	200.16	170.47	33.133	7.4651	0.017521
367.20	0.089053	618.32	0.0016173	-1.1216	-1.1072	-2.9921	204.09	254.24	850.56	-0.27883	201.60	0.11403	0.013088	3.0718	0.32554	28.052	30.957	84.328	189.97	200.82	170.54	32.793	7.4931	0.017640
368.40	0.092327	617.19	0.0016203	-0.81652	-0.80153	-2.1625	204.57	254.81	845.85	-0.27580	199.63	0.11374	0.012973	3.1785	0.31461	28.266	31.177	84.640	190.57	201.48	170.60	32.459	7.5213	0.017760
369.60	0.095696	616.05	0.0016232	-0.51073	-0.49517	-1.3338	205.04	255.39	841.14	-0.27274	197.69	0.11346	0.012859	3.2881	0.30413	28.481	31.397	84.954	191.16	202.15	170.66	32.132	7.5495	0.017880
370.80	0.099160	614.91	0.0016262	-0.20427	-0.18811	-0.50587	205.52	255.97	836.44	-0.26964	195.78	0.11317	0.012745	3.4007	0.29406	28.696	31.617	85.270	191.75	202.81	170.71	31.811	7.5778	0.018000
372.00	0.10272	613.77	0.0016293	0.10287	0.11964	0.32119	206.00	256.54	831.73	-0.26651	193.89	0.11289	0.012632	3.5163	0.28439	28.911	31.838	85.586	192.34	203.48	170.75	31.497	7.6062	0.018121
373.20	0.10638	612.62	0.0016323	0.41069	0.42809	1.1474	206.48	257.12	827.02	-0.26334	192.02	0.11260	0.012518	3.6350	0.27511	29.127	32.059	85.905	192.94	204.15	170.79	31.188	7.6346	0.018243
374.40	0.11015	611.48	0.0016354	0.71919	0.73724	1.9728	206.96	257.71	822.32	-0.26013	190.18	0.11232	0.012405	3.7568	0.26618	29.343	32.281	86.224	193.53	204.83	170.83	30.886	7.6632	0.018365
375.60	0.11401	610.32	0.0016385	1.0284	1.0471	2.7974	207.44	258.29	817.61	-0.25688	188.36	0.11203	0.012292	3.8818	0.25761	29.560	32.503	86.545	194.13	205.50	170.86	30.589	7.6918	0.018488
376.80	0.11798	609.17	0.0016416	1.3382	1.3577	3.6212	207.92	258.88	812.91	-0.25359	186.57	0.11175	0.012179	4.0101	0.24937	29.777	32.725	86.868	194.72	206.18	170.89	30.298	7.7205	0.018611
